ID_CATATAN|NIK|NAMA_LENGKAP|JAM|LOKASI|SUHU
4288267|2000|yoga adtm|2022-03-02|13:53|ANCOL|70 celcius
731771|250205|putri ana|2022-03-02|19:33|bandung|70 celcius

8562473|5555555555555555|robi|2022-03-08|08:41|jember|90.9 celcius
4802148|7777777777777777|ria oktaviona|2022-03-12|23:19|balungg|90.9 celcius

6550804|7777777777777777|ria oktaviona|2022-03-16|22:21|umbulsari|90.9 celciuss
7175457|4444444444444444|saya|2022-03-16|12:51|semboro|80 celcius

688912|6666666666666666|riki|2022-03-18|20:31|umbulsar|90.9 celcius
9945329|250205|putri ana|2022-03-25|20:47|jember|90.9 celcius
7826679|7777777777777777|ria oktaviona|2022-04-08|09:25|umbulsari|23
4323332|7777777777777777|ria oktaviona|2022-04-08|14:32|surabaya|90.9 celcius
2947171|9999999999999999|TONO|2022-04-09|09:00|balaidesa tegalwangi|75 celcius
3464116|9999999999999999|TONO|2022-04-10|23:04|BALUNG|90.9 celcius
116967|9999999999999999|TONO|2022-04-11|00:33|jember|80 celcius
888209|1000000000000000|budi|2022-04-15|11:22|stadiun tanggul|80 celcius
356331|1000000000000000|budi|2022-04-09|11:31|bandung|90.9 celcius

7162874|7777777777777777|ria oktaviona|2022-04-12|00:22|umbulsari|34 celcius
