NIK|NAMA LENGKAP
3209333|muhammad syahroni
250205|putri ana
133131|lingga
14002|kepin
2000|yoga adtm
3509052511030001|kepin
3509052511030001|kepin
3509052511030001|kepin
3509052511030001|kepin
3509052511030001|kepin
3509052511030001|kepin
5555555555555555|robi
7777777777777777|ria oktaviona
1111111111111111|bambang
4444444444444444|saya

6666666666666666|riki
3333333333333333|iku
0000000000000000|saya
1444444444444444|ria oktaviona
1666666666666666|kepin
9999999999999999|TONO
1000000000000000|budi
3205099983810001|Muhammmad syahroni
